                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0632,                0.97093,                 1.1312,                0.94423,                0.95433,                0.98522,                0.64458,                   1.25,                 1.2604,                 1.2278,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.1087,                 1.0266,                 1.1584,                0.92289,                0.92593,                0.96418,                0.65537,                 1.2287,                 1.2706,                 1.1689,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0681,                0.97421,                 1.1273,                0.97741,                0.93971,                0.98967,                0.64174,                 1.3066,                 1.2596,                 1.2661,               0.000948,               0.000948,               0.000948
                     37,                  1.078,                0.98084,                 1.1793,                0.97849,                0.94176,                0.99133,                0.64035,                 1.3199,                 1.2391,                 1.2532,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0258,                0.95561,                  1.139,                0.95058,                0.95719,                0.99051,                0.64515,                 1.3101,                 1.2589,                 1.2422,              0.0009197,              0.0009197,              0.0009197
                     39,                  1.016,                 0.9543,                 1.1047,                0.92913,                0.94444,                0.98562,                0.66689,                  1.244,                  1.198,                 1.2032,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0916,                0.95418,                 1.1499,                0.96408,                0.92506,                0.98572,                0.63898,                 1.2881,                 1.1714,                  1.206,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0426,                0.97523,                 1.1335,                0.89338,                0.96296,                0.98559,                0.57783,                  1.403,                 1.2058,                 1.2712,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0286,                0.89195,                 1.1181,                0.89637,                0.95543,                0.98986,                0.57551,                 1.4109,                 1.2074,                 1.2547,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0486,                0.89316,                  1.112,                0.86944,                0.93256,                0.99133,                0.62503,                 1.3429,                 1.2166,                 1.1968,             0.00084897,             0.00084897,             0.00084897
