                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2829,                 1.1179,                 1.3252,                0.95054,                0.94209,                0.97561,                0.59269,                  1.459,                0.95758,                 1.2751,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.3744,                 1.1424,                 1.2977,                0.93313,                0.94641,                0.97405,                0.61781,                 1.3642,                 0.9405,                 1.2265,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.4167,                 1.1473,                 1.3191,                0.92865,                0.96296,                0.98404,                0.64544,                 1.3153,                0.90674,                 1.1956,               0.000769,               0.000769,               0.000769
                     38,                   1.35,                 1.0768,                 1.3321,                0.93743,                0.99015,                0.98796,                0.65422,                 1.2905,                0.91177,                 1.1771,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.3636,                 1.1723,                 1.3464,                0.93962,                0.99065,                0.98572,                0.64661,                 1.3594,                0.91593,                 1.1924,              0.0007558,              0.0007558,              0.0007558
                     40,                 1.2949,                 1.0664,                 1.2435,                0.96839,                0.92157,                0.98106,                 0.5975,                 1.5615,                0.93524,                 1.2645,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.3282,                 1.1349,                 1.3036,                0.94745,                 0.9312,                0.98106,                0.53117,                 1.7253,                0.97985,                 1.3392,              0.0007426,              0.0007426,              0.0007426
                     42,                  1.353,                  1.054,                 1.2712,                0.97504,                0.94638,                0.98851,                0.51647,                 1.7915,                0.99873,                 1.3666,               0.000736,               0.000736,               0.000736
                     43,                 1.3493,                 1.0815,                 1.2848,                0.93315,                0.99802,                0.98384,                 0.5419,                 1.7233,                  1.014,                 1.3537,              0.0007294,              0.0007294,              0.0007294
                     44,                 1.3554,                 1.0482,                 1.2864,                0.95066,                      1,                0.98604,                0.57602,                 1.5715,                0.98171,                 1.2908,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.2957,                 1.0675,                 1.2752,                0.94695,                0.96724,                0.98836,                0.61302,                 1.4447,                0.91936,                 1.2519,              0.0007162,              0.0007162,              0.0007162
                     46,                  1.381,                 1.1851,                 1.3768,                0.96007,                0.95946,                0.98888,                0.62742,                 1.3927,                0.87172,                 1.2316,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.3275,                 1.0442,                 1.2716,                 0.9568,                0.96296,                0.99222,                0.63614,                 1.3866,                0.84825,                 1.2332,               0.000703,               0.000703,               0.000703
                     48,                 1.2744,                 1.0283,                 1.2469,                0.95728,                0.96296,                0.99151,                0.61162,                 1.4543,                0.85159,                 1.2434,              0.0006964,              0.0006964,              0.0006964
                     49,                 1.4065,                 1.0889,                 1.3138,                0.93207,                0.99505,                0.99019,                0.59993,                 1.5288,                0.86819,                 1.2597,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.3446,                 1.0776,                 1.3009,                0.92942,                      1,                0.98767,                0.58347,                 1.5626,                0.88668,                 1.2711,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.3312,                 1.0246,                 1.2861,                0.91294,                0.96296,                0.96764,                0.53021,                  1.691,                0.93712,                 1.3149,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.3808,                 1.0793,                 1.3028,                0.91602,                0.96296,                0.96322,                0.53763,                 1.6238,                0.92129,                  1.291,                0.00067,                0.00067,                0.00067
                     53,                  1.358,                 1.0347,                 1.2686,                0.91727,                0.96296,                0.95753,                0.57389,                 1.4848,                0.89237,                 1.2459,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.2878,                 0.9569,                  1.259,                0.92601,                0.94434,                0.96126,                0.59959,                 1.3645,                0.86648,                 1.1937,              0.0006568,              0.0006568,              0.0006568
                     55,                 1.3132,                 1.0246,                 1.3046,                0.90581,                0.94444,                0.96094,                 0.6135,                 1.3335,                0.84273,                 1.1697,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.3038,                0.98619,                 1.2628,                0.89748,                0.94444,                0.96612,                0.59243,                 1.3467,                 0.8438,                 1.1732,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.2201,                0.94053,                 1.2346,                 0.9034,                0.97804,                0.97312,                0.58245,                 1.4281,                0.86327,                 1.2063,               0.000637,               0.000637,               0.000637
                     58,                 1.3056,                0.97063,                 1.2439,                0.89706,                      1,                0.97572,                0.54988,                 1.5217,                0.88159,                 1.2497,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.2441,                0.92935,                  1.226,                0.93079,                0.98148,                0.97173,                0.50695,                 1.7235,                0.89463,                 1.3359,              0.0006238,              0.0006238,              0.0006238
                     60,                 1.2807,                0.92117,                 1.2384,                0.91628,                0.98666,                0.97222,                0.52961,                 1.6851,                0.87778,                  1.317,              0.0006172,              0.0006172,              0.0006172
                     61,                  1.233,                0.90534,                 1.1698,                0.94137,                      1,                0.98508,                0.56214,                 1.6151,                0.85654,                 1.2694,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.1882,                0.89052,                 1.1775,                0.95362,                      1,                0.98767,                0.58312,                 1.5044,                0.83632,                 1.2274,               0.000604,               0.000604,               0.000604
                     63,                 1.2778,                0.98031,                 1.2117,                0.95284,                      1,                0.98767,                0.62246,                 1.4274,                0.82503,                  1.196,              0.0005974,              0.0005974,              0.0005974
                     64,                 1.2831,                0.92564,                 1.2393,                0.95444,                0.99759,                0.99035,                0.64454,                 1.3973,                0.82294,                 1.1872,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.2948,                0.91333,                 1.2358,                0.95067,                0.98148,                0.99151,                0.64634,                  1.351,                0.80358,                 1.1738,              0.0005842,              0.0005842,              0.0005842
                     66,                  1.281,                0.90809,                 1.2537,                0.94359,                0.98148,                0.98993,                0.65571,                 1.3344,                 0.8039,                 1.1704,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.3118,                 1.0182,                 1.2669,                0.92181,                0.96296,                0.98265,                0.65975,                 1.3494,                0.80386,                 1.1768,               0.000571,               0.000571,               0.000571
                     68,                 1.2997,                0.93811,                 1.2367,                0.93361,                0.96296,                0.98001,                0.65054,                 1.4241,                0.80519,                   1.21,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.2148,                0.83648,                 1.1899,                0.94172,                0.96296,                0.97814,                 0.6196,                 1.4871,                0.82702,                 1.2431,              0.0005578,              0.0005578,              0.0005578
                     70,                 1.2247,                0.86863,                  1.141,                0.94207,                0.96296,                0.97833,                0.59956,                 1.5546,                0.83313,                 1.2713,              0.0005512,              0.0005512,              0.0005512
